metric,value
n_quarters_total,116
n_quarters_normal,8
n_quarters_lehman,4
n_quarters_sensitivity,12
n_nodes,31
n_edges_positive_normal,698
n_edges_positive_lehman,692
residual_nodes_excluded,5Q (already filtered upstream by build_bis_lbs_dataset.py)
constant_nodes_levels,"ES,HK,IT,PH,ZA"
constant_nodes_changes,"ES,HK,IT,PH,ZA"
target_only_nodes,"ES,HK,IT,PH,ZA"
constant_source_nodes,"ES,HK,IT,PH,ZA"
reporting_filter_warning,"ES, IT, HK, PH, ZA-style countries appear as target-only or constant under the active L_PARENT_CTY=5J + L_CP_SECTOR=A filter; this reflects BIS reporting / filter constraints, not economic absence. See reporter_status_summary.csv."
article_safe_outputs,"risk_concentration_article_grade.csv, top_correlated_pairs_changes.csv (rows where headline_allowed=True), model_comparison_summary.csv (BA vs ER baseline)"
missing_quarters,(none — every quarter in window has ≥1 row)
low_sample_warning_lehman_changes,TRUE
warnings,Pearson on 4-quarter Lehman window is fragile; rely on sensitivity window.
panel_date_range,1995-03-31..2023-12-31
interpretation_caveat,"Edges are directed total cross-border claims of country i's resident banks on ALL counterparty sectors in country j (banks + non-banks). The BIS LBS bulk feed does not publish a bank-to-bank bilateral cell at REP×CP-country granularity; the Banks-only (B/I/J) sector breakdown is aggregated to L_CP_COUNTRY=5J only. This panel is therefore an interbank-embedded total-claim network, not a pure interbank graph. True bank-to-bank bilateral data requires BIS-confidential or per-country supervisory extracts."
