symbol,module,role,invariant,test_file,property_test,failure_mode,ci_gate,status
LadderConfig,adversarial_ladder,prosecutor sweep config,frozen-immutable,test_adversarial_ladder.py,no,wrong sweep parameters,pytest,locked
LadderReport,adversarial_ladder,paired-bootstrap delta-AUC verdict,frozen-immutable,test_adversarial_ladder.py,no,reports false acquittal,pytest,locked
ParameterFragilityReport,adversarial_ladder,parameter-sweep verdict-flip outcome,frozen-immutable,test_adversarial_ladder.py,no,fragility undetected,pytest,locked
ProsecutorOutcome,adversarial_ladder,single prosecutor evaluation record,frozen-immutable,test_adversarial_ladder.py,no,prosecutor result lost,pytest,locked
ProsecutorScore,adversarial_ladder,prosecutor scalar metric,finite-bounded,test_adversarial_ladder.py,no,non-finite score,pytest,locked
parameter_fragility_audit,adversarial_ladder,knob-sweep audit,verdict-flip detection,test_adversarial_ladder.py,no,fragile claim accepted,pytest,locked
run_adversarial_ladder,adversarial_ladder,canonical 8-prosecutor evaluator,paired-bootstrap delta-AUC,test_adversarial_ladder.py,no,baseline beats candidate undetected,pytest,locked
run_null_audit,adversarial_ladder,null-surrogate evaluator,null-distribution-derived p,test_adversarial_ladder.py,no,null win undetected,pytest,locked
edge_density_score,baselines,naive density baseline,scalar in [0_1],test_baselines.py,no,non-finite output,pytest,locked
rolling_volatility_score,baselines,naive rolling-vol baseline,trailing-only no future,test_baselines.py,no,future-data leakage,pytest,locked
auc_per_crisis_bf_rigorous,bayes_rigorous,Wagenmakers BIC-BF for AUC,Lindley penalty at AUC=0.5,test_bayes_rigorous.py,yes,ad-hoc-form regression,pytest,locked
auc_to_z_under_null,bayes_rigorous,Bamber-1975 standardisation,z=0 at AUC=0.5,test_bayes_rigorous.py,no,null-variance miscalibration,pytest,locked
cramer_rao_alpha_lower_bound,bayes_rigorous,Clauset-Shalizi-Newman lower bound,attained by MLE within 5pct (Monte Carlo),test_bayes_rigorous.py,yes,SE underestimation,pytest,locked
derive_kill_threshold_log_odds,bayes_rigorous,Berger 1985 §4.4 Bayes-rule threshold,log(c_FK/c_FP) closed form,test_bayes_rigorous.py,no,asymmetric-cost miscalibration,pytest,locked
mann_whitney_effective_n,bayes_rigorous,n_eff = mn/(m+n+1),balanced approximation,test_bayes_rigorous.py,no,effective-sample miscompute,pytest,locked
mann_whitney_null_variance,bayes_rigorous,Mann-Whitney 1947 §3 eq.5,(m+n+1)/(12mn),test_bayes_rigorous.py,no,null-variance miscompute,pytest,locked
wagenmakers_bic_bayes_factor,bayes_rigorous,BIC approximation log BF,closed form (z²-log n_eff)/2,test_bayes_rigorous.py,yes,clamping/saturation drift,pytest,locked
CanonicalSevenInputs,canonical_seven,bundle of 5 pillar outputs,frozen-immutable,test_canonical_seven.py,no,silent dropping of evidence,pytest,locked
CanonicalSevenOutcome,canonical_seven,orchestrator result,frozen-immutable,test_canonical_seven.py,no,result truncation,pytest,locked
run_canonical_seven,canonical_seven,end-to-end orchestrator,KILL>INVALIDATE>QUARANTINE>DEMOTE>STOP precedence,test_canonical_seven.py,no,wrong precedence,pytest,locked
coupling_from_exposures,coupling,asymmetric directed coupling,non-negative entries,test_coupling.py,no,negative coupling,pytest,locked
omega_from_volatility,coupling,first-order ω estimator,finite per-bank ω,test_coupling.py,no,non-finite frequency,pytest,locked
sakaguchi_alpha_zero,coupling,zero-frustration scaffold,zeros matrix,test_coupling.py,no,non-zero α slipping in,pytest,locked
CSDConfig,critical_slowing_down,CSD indicator config,frozen-immutable,test_critical_slowing_down.py,no,bad parameters silent,pytest,locked
CSDIndicators,critical_slowing_down,CSD indicator output,trailing-only window,test_critical_slowing_down.py,no,non-causal CSD,pytest,locked
compute_csd_indicators,critical_slowing_down,variance/AR1/skewness CSD,strict-causal trailing,test_critical_slowing_down.py,no,future-data leakage,pytest,locked
DataFirewallReport,data_firewall,8-gate firewall verdict,passed_all=conjunction,test_data_firewall.py,no,silent gate skip,pytest,locked
GateOutcome,data_firewall,single firewall-gate result,frozen-immutable,test_data_firewall.py,no,wrong gate name,pytest,locked
Provenance,data_firewall,provenance schema record,sha256 64-hex enforced,test_data_firewall.py,no,malformed provenance,pytest,locked
gate_diagonal,data_firewall,G5 self-loop check,diag==0 strict,test_data_firewall.py,no,self-loops accepted,pytest,locked
gate_finite,data_firewall,G3 NaN/Inf check,np.all(isfinite),test_data_firewall.py,no,non-finite slipping,pytest,locked
gate_monotonic_time,data_firewall,G7 strictly-increasing dates,date1<date2,test_data_firewall.py,no,duplicate dates accepted,pytest,locked
gate_provenance,data_firewall,G8 provenance-record check,4 fields validated,test_data_firewall.py,no,missing provenance,pytest,locked
gate_schema_type,data_firewall,G1 ndarray[float64] check,dtype enforced,test_data_firewall.py,no,wrong dtype,pytest,locked
gate_shape,data_firewall,G2 (N N) shape check,square N×N,test_data_firewall.py,no,non-square accepted,pytest,locked
gate_sign,data_firewall,G4 ≥0 check,no negative entries,test_data_firewall.py,no,negative exposures,pytest,locked
gate_sparsity,data_firewall,G6 non-zero check,exists nonzero,test_data_firewall.py,no,all-zero accepted,pytest,locked
run_data_firewall,data_firewall,8-gate orchestrator,all gates execute,test_data_firewall.py,no,gate short-circuit,pytest,locked
DataFirewallResultLike,death_conditions,structural protocol firewall,passed_all bool field,test_death_conditions.py,no,protocol drift,pytest,locked
DeathConditionsRegistry,death_conditions,5-trigger registry,frozen extend()-only,test_death_conditions.py,no,silent in-place mutation,pytest,locked
