ID,Title,Description,Source,Status,Owner,Priority,Deadline
REQ-001,Responsible AI Council Established,"Створити раду з представників ризик-менеджменту, продукту, платформи, безпеки, юристів та етичного експерта; затвердити мандат і власників робочих потоків.","docs/responsible_ai_program.md:L11-L16",Planned,"Responsible AI Council",High,"Week 1-2"
REQ-002,AI Asset Inventory,"Інвентаризувати моделі, MLOps пайплайни, джерела даних та сценарії використання й занести у синхронізований реєстр.","docs/responsible_ai_program.md:L20-L24",Planned,"Власник потоку інвентаризації (визначає Рада)",High,"Week 1-2"
REQ-003,Risk Mapping,"Побудувати карту небезпек та ризиків із класифікацією за ймовірністю та впливом і пов’язаними контрольними точками.","docs/responsible_ai_program.md:L28-L33",Planned,"Risk Management Lead",High,"Week 3-4"
REQ-004,Fairness & Bias Controls,"Визначити чутливі групи, метрики упередженості та процедури реагування з регулярним тестуванням.","docs/responsible_ai_program.md:L37-L44",Planned,"Data Science Fairness Lead",High,"Week 5-6"
REQ-005,Data Privacy Governance,"Затвердити політики збору/зберігання/доступу, класифікацію даних та інтегрувати диференційовану приватність у пайплайни.","docs/responsible_ai_program.md:L48-L54",Planned,"Data Governance Lead",High,"Week 5-6"
REQ-006,Explainability Standards,"Стандартизувати інструменти explainability, шаблони пояснень і процес версіонування артефактів.","docs/responsible_ai_program.md:L58-L63",Planned,"Explainability Lead",Medium,"Week 5-6"
REQ-007,Appeals Workflow,"Налаштувати канали апеляцій, SLA реагування, інструменти операторів і метрики ефективності.","docs/responsible_ai_program.md:L67-L72",Planned,"Operations Lead",High,"Week 7-8"
REQ-008,Domain Guardrails,"Визначити дозволені/заборонені сценарії, технічні обмеження та процедури розширення домену.","docs/responsible_ai_program.md:L76-L81",Planned,"Product Governance Lead",High,"Week 3-4"
REQ-009,Red Team Program,"Сформувати red team, розробити сценарії атак та план ремедіації з інтеграцією у карту ризиків.","docs/responsible_ai_program.md:L85-L90",Planned,"Security Lead",High,"Week 7-8"
REQ-010,Legal & Regulatory Review,"Організувати регулярні правові перегляди, DPIA та процес комунікації з регуляторами.","docs/responsible_ai_program.md:L94-L99",Planned,"Legal Lead",High,"Week 7-8"
REQ-011,Standards Compliance,"Вирівняти контролі з ISO/IEC 42001, ISO/IEC 23894, NIST AI RMF та AI Act, зберігати артефакти аудиту.","docs/responsible_ai_program.md:L103-L108",Planned,"Compliance Lead",High,"Week 9-10"
REQ-012,Transparency & Reporting,"Публікувати щоквартальні звіти, картки моделей і автоматизовані дашборди для команд.","docs/responsible_ai_program.md:L112-L118",Planned,"Transparency Program Manager",Medium,"Week 9-10"
REQ-013,Continuous Improvement,"Визначити KPI програми, проводити ретроспективи та оновлювати політики відповідно до нових регуляцій.","docs/responsible_ai_program.md:L122-L127",Planned,"Responsible AI Council",Medium,"Week 11-12"
