ID,Title,Description,Source,Status,Owner,Priority,Deadline
TASK-001,Convene Responsible AI Council,"Зібрати стартову зустріч ради та підтвердити участь представників усіх зазначених функцій.","docs/responsible_ai_program.md:L11-L12",Not Started,"Responsible AI Council Chair",High,"Week 1"
TASK-002,Approve Council Mandate,"Затвердити мандат ради, частоту засідань, процедури ескалації та вимоги до протоколів.","docs/responsible_ai_program.md:L13-L14",Not Started,"Responsible AI Council Chair",High,"Week 1"
TASK-003,Assign Workstream Leads,"Призначити відповідальних керівників з KPI та бюджетами для кожного етапу програми.","docs/responsible_ai_program.md:L15-L16",Not Started,"Executive Sponsor",High,"Week 2"
TASK-004,Build AI Asset Registry,"Зібрати інвентар моделей, пайплайнів, джерел даних і бізнес-сценаріїв у синхронізований реєстр.","docs/responsible_ai_program.md:L20-L24",Not Started,"Inventory Workstream Lead",High,"Week 2"
TASK-005,Perform Hazard Analysis,"Провести PHA для сценаріїв, класифікувати ризики за ймовірністю та впливом, зв’язати з контролями.","docs/responsible_ai_program.md:L28-L33",Not Started,"Risk Management Lead",High,"Week 4"
TASK-006,Configure Fairness Testing,"Визначити чутливі атрибути, побудувати метрики упередженості та автоматизувати тестування.","docs/responsible_ai_program.md:L37-L42",Not Started,"Data Science Fairness Lead",High,"Week 6"
TASK-007,Define Bias Response Playbook,"Описати процедури реагування: алерти, розслідування, перевчання, корекція рішень.","docs/responsible_ai_program.md:L43-L44",Not Started,"Data Science Fairness Lead",Medium,"Week 6"
TASK-008,Publish Data Governance Policy,"Затвердити політики даних, категоризацію, контроль доступу та оцінку постачальників.","docs/responsible_ai_program.md:L48-L54",Not Started,"Data Governance Lead",High,"Week 6"
TASK-009,Implement Explainability Toolkit,"Стандартизувати інструменти explainability, шаблони пояснень і процес версіонування.","docs/responsible_ai_program.md:L58-L63",Not Started,"Explainability Lead",Medium,"Week 6"
TASK-010,Launch Appeals Service,"Налаштувати канали апеляцій, SLA, інструменти операторів і збір метрик.","docs/responsible_ai_program.md:L67-L72",Not Started,"Operations Lead",High,"Week 8"
TASK-011,Define Domain Guardrails,"Задокументувати дозволені та заборонені сценарії, технічні обмеження й процедуру розширення домену.","docs/responsible_ai_program.md:L76-L81",Not Started,"Product Governance Lead",High,"Week 4"
TASK-012,Deliver Red Team Exercises,"Сформувати red team, розробити сценарії атак, провести симуляції та задокументувати плани ремедіації.","docs/responsible_ai_program.md:L85-L90",Not Started,"Security Lead",High,"Week 8"
TASK-013,Run Legal Review Cycle,"Організувати юридичні рев’ю, DPIA та узгодити комунікації з регуляторами.","docs/responsible_ai_program.md:L94-L99",Not Started,"Legal Lead",High,"Week 8"
TASK-014,Build Compliance Matrix,"Вирівняти контролі зі стандартами й налаштувати зберігання аудиторських артефактів.","docs/responsible_ai_program.md:L103-L108",Not Started,"Compliance Lead",High,"Week 10"
TASK-015,Publish Transparency Dashboard,"Підготувати квартальні звіти, картки моделей та автоматизувати дашборди.","docs/responsible_ai_program.md:L112-L118",Not Started,"Transparency Program Manager",Medium,"Week 10"
TASK-016,Hold Continuous Improvement Review,"Провести ретроспективу, оновити політики та перевірити відповідність новим регуляціям.","docs/responsible_ai_program.md:L122-L127",Not Started,"Responsible AI Council",Medium,"Week 12"
